Categorie                                 Total     OK   Leeg  Zwart    Min
----------------------------------------------------------------------
about-pages                                  10     10      0      0      0
application-shells                           32     32      0      0      0
banners                                      32     16      0     16      0
blog-headers                                 64     64      0      0      0
blog-pages                                   10     10      0      0      0
blog-post-headers                            10     10      0      0      0
blog-post-pages                              10     10      0      0      0
blog-sections                                72     72      0      0      0
card-headers                                  4      4      0      0      0
careers                                      54     54      0      0      0
category-filters                             12     12      0      0      0
comparisons                                  30     30      0      0      0
contact                                      60     30      0     30      0
contact-modals                               12     12      0      0      0
contact-pages                                10      5      0      5      0
cookie-consent                               10     10      0      0      0
cta-new                                     134     67      0     67      0
description-lists                             8      8      0      0      0
event-headers                                12     12      0      0      0
event-item-headers                           22     22      0      0      0
event-sections                               74     74      0      0      0
faq                                          28     28      0      0      0
features                                   1364   1364      0      0      0
footers                                      34     34      0      0      0
forms                                        40     20      0     20      0
gallery                                      54     54      0      0      0
grid-lists                                   20     20      0      0      0
headers                                      54     27      0     27      0
hero-headers-new                            260    130      0    130      0
home-pages                                   16     16      0      0      0
legal-pages                                   4      4      0      0      0
links-pages                                  32     32      0      0      0
loaders                                      10     10      0      0      0
logos                                        12     12      0      0      0
long-form-content-sections                   64     64      0      0      0
multi-step-forms                             92     46      0     46      0
navbars                                      64     32      0     32      0
onboarding-forms                             34     17      0     17      0
page-headers                                 10     10      0      0      0
portfolio-headers                            24     24      0      0      0
portfolio-pages                              14     14      0      0      0
portfolio-sections                           46     46      0      0      0
pricing                                     114     57      0     57      0
pricing-pages                                10      5      0      5      0
product-headers                              18     18      0      0      0
product-list-sections                        24     24      0      0      0
section-headers                               8      8      0      0      0
sidebars                                     30     30      0      0      0
sign-up-and-log-in-modals                    10      5      0      5      0
sign-up-and-log-in-pages                     34     17      0     17      0
stacked-lists                                20     20      0      0      0
stat-cards                                   16     16      0      0      0
stats-sections                              120    120      0      0      0
style-guide                                  16     16      0      0      0
tables                                       20     10      0     10      0
team                                         44     44      0      0      0
timelines                                    42     21      0     21      0
topbars                                      24     24      0      0      0
----------------------------------------------------------------------
TOTAAL                                     3508   3003      0    505      0
